Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Genre,Style,Votes,Comments,Weighted Rating
temper 15,Michael Burkat,Room 29,Temper,"12""",4.73,2007,1148582,Techno,2024-12-08 05:27:35,,,,Electronic,Techno,11,0,4.388891129032259
CF705,Deadmau5,Faxing Berlin / Jaded,Cinnamon Flava,"12""",4.47,2007,1133929,progressive house,2024-12-07 10:59:34,,,,Electronic,"Progressive House, Progressive Trance, Ambient",45,0,4.387157258064516
NE 004,Axwell,Feel The Vibe,Nero Recordings,"12"", S/Sided",4.42,2004,315360,House,2024-12-07 09:29:24,,,,Electronic,House,106,0,4.3851023185483875
SUN.07,The Selph,Fraerox EP,Sunplay,"12"", EP",5.0,2007,1101071,minimal,2024-12-08 10:40:57,,,,Electronic,"Techno, Minimal, Tech House",6,0,4.384613911290323
MRR 00000007,Junior Rafael,Junior Rafael Presents Darkroom Traxx,Mighty Robot Recordings,"12"", Ltd",4.47,2007,1030893,House,2024-12-07 10:32:04,,,,Electronic,"Acid House, House",43,0,4.384250495189587
RSP RED 027,Brett Johnson / Mathias Schaffhäuser,Gypsy Blue / Miles Over Zero,Resopal Red,"12""",4.55,2008,1488753,Uncategorized,2024-12-10 11:36:16,,,,Electronic,"Tech House, Minimal",22,0,4.383118839605735
Gigolo 11,Miss Kittin & The Hacker,Champagne! E.P.,International Deejay Gigolo Records,"12"", EP",4.39,1998,10800,Uncategorized,2024-12-10 13:46:41,,,,Electronic,"Electroclash, Electro, Synth-pop",465,0,4.382134192538218
THEOM007,AN-2,Wide Open EP,Theomatic,"12"", EP",4.44,2007,1152010,House,2024-12-07 10:35:26,,,,Electronic,"Deep House, Disco",63,0,4.3819776392961876
ChaCha008,Various,Deep Dish Remixes Volume 03,ChaCha Records,"2x12"", Unofficial",4.64,2006,633853,House,2024-12-07 10:17:49,,,,Electronic,Deep House,14,0,4.380438508064516
enemyltd03,Decimal,Freekout,Enemy Records (2),"12"", Ltd",4.64,2007,1167414,Uncategorized,2024-12-10 12:10:45,,,,Electronic,"Techno, Minimal",14,0,4.380438508064516
LUCKY001,Superfunk,Lucky Star,Not On Label (Superfunk),"12"", Unofficial",4.5,2006,708689,House,2024-12-08 05:34:23,,,,Electronic,House,30,0,4.37936995967742
KOM EX 2,Michael Mayer / Reinhard Voigt,Speicher 2,Kompakt Extra,"12""",4.39,2002,37062,minimal,2024-12-08 03:13:02,,,,Electronic,"Techno, Minimal",288,0,4.377524100085451
LGT 5097,Various,Sampler 2005.2,Legato Records,"12"", Smplr",4.42,2005,445729,House,2024-12-09 03:20:20,,,,Electronic,House,84,0,4.37726814516129
ladomat 2123-0,Golden Boy With Miss Kittin,Rippin Kittin,Ladomat 2000,"12""",4.4,2001,31136,House,2024-12-08 02:17:55,,,,Electronic,"House, Electro, Synth-pop",153,0,4.376600468418003
FNC19,Shonky,Olympia EP,Freak n' Chic,"12"", EP",4.46,2007,881208,minimal,2024-12-08 02:52:10,,,,Electronic,"Techno, Minimal",41,0,4.3736777859237534
DC36,Pär Grindvik,Do Us Part Remixes,Drumcode,"12""",4.42,2008,1215528,Uncategorized,2024-12-10 10:44:19,,,,Electronic,"Techno, Minimal",76,0,4.373469758064516
